"Country or Area","Year","Item","Value"
"United Kingdom of Great Britain and Northern Ireland","1996","Gross Domestic Product (GDP)","911258000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Final consumption expenditure","688684000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Household consumption expenditure (including Non-profit institutions serving households)","543244000000"
"United Kingdom of Great Britain and Northern Ireland","1995","General government final consumption expenditure","145440000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Gross capital formation","159175000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Gross fixed capital formation (including Acquisitions less disposals of valuables)","153769000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Changes in inventories","5406000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Exports of goods and services","219989000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Imports of goods and services","214771000000"
"United Kingdom of Great Britain and Northern Ireland","1995","Gross Domestic Product (GDP)","853077000000"
"United Kingdom of Great Britain and Northern Ireland","1994","Final consumption expenditure","659468996000"
"United Kingdom of Great Britain and Northern Ireland","1994","Household consumption expenditure (including Non-profit institutions serving households)","518863031000"
"United Kingdom of Great Britain and Northern Ireland","1994","General government final consumption expenditure","140605965000"
"United Kingdom of Great Britain and Northern Ireland","1994","Gross capital formation","144922107000"
"United Kingdom of Great Britain and Northern Ireland","1994","Gross fixed capital formation (including Acquisitions less disposals of valuables)","140177460000"
"United Kingdom of Great Britain and Northern Ireland","1994","Changes in inventories","4744647000"
"United Kingdom of Great Britain and Northern Ireland","1994","Exports of goods and services","192259575000"
"United Kingdom of Great Britain and Northern Ireland","1994","Imports of goods and services","192133068000"
"United Kingdom of Great Britain and Northern Ireland","1994","Gross Domestic Product (GDP)","745196000000"
"United Kingdom of Great Britain and Northern Ireland","1993","Final consumption expenditure","629233831000"
"United Kingdom of Great Britain and Northern Ireland","1993","Household consumption expenditure (including Non-profit institutions serving households)","493200575000"
"United Kingdom of Great Britain and Northern Ireland","1993","General government final consumption expenditure","136033256000"
"United Kingdom of Great Britain and Northern Ireland","1993","Gross capital formation","130530011000"
"United Kingdom of Great Britain and Northern Ireland","1993","Gross fixed capital formation (including Acquisitions less disposals of valuables)","130644758000"
"United Kingdom of Great Britain and Northern Ireland","1993","Changes in inventories","-114747000"
"United Kingdom of Great Britain and Northern Ireland","1993","Exports of goods and services","173870480000"
"United Kingdom of Great Britain and Northern Ireland","1993","Imports of goods and services","176167718000"
"United Kingdom of Great Britain and Northern Ireland","1993","Gross Domestic Product (GDP)","707734000000"
"United Kingdom of Great Britain and Northern Ireland","1992","Final consumption expenditure","596714070000"
"United Kingdom of Great Britain and Northern Ireland","1992","Household consumption expenditure (including Non-profit institutions serving households)","462865993000"
"United Kingdom of Great Britain and Northern Ireland","1992","General government final consumption expenditure","133848077000"
"United Kingdom of Great Britain and Northern Ireland","1992","Gross capital formation","127042027000"
"United Kingdom of Great Britain and Northern Ireland","1992","Gross fixed capital formation (including Acquisitions less disposals of valuables)","129713740000"
"United Kingdom of Great Britain and Northern Ireland","1992","Changes in inventories","-2671713000"
"United Kingdom of Great Britain and Northern Ireland","1992","Exports of goods and services","152442431000"
"United Kingdom of Great Britain and Northern Ireland","1992","Imports of goods and services","157015269000"
"United Kingdom of Great Britain and Northern Ireland","1992","Gross Domestic Product (GDP)","672170000000"
"United Kingdom of Great Britain and Northern Ireland","1991","Final consumption expenditure","564796684000"
"United Kingdom of Great Britain and Northern Ireland","1991","Household consumption expenditure (including Non-profit institutions serving households)","438870772000"
"United Kingdom of Great Britain and Northern Ireland","1991","General government final consumption expenditure","125925912000"
"United Kingdom of Great Britain and Northern Ireland","1991","Gross capital formation","127409442000"
"United Kingdom of Great Britain and Northern Ireland","1991","Gross fixed capital formation (including Acquisitions less disposals of valuables)","134358284000"
"United Kingdom of Great Britain and Northern Ireland","1991","Changes in inventories","-6948842000"
"United Kingdom of Great Britain and Northern Ireland","1991","Exports of goods and services","144850668000"
"United Kingdom of Great Britain and Northern Ireland","1991","Imports of goods and services","147073997000"
"United Kingdom of Great Britain and Northern Ireland","1991","Gross Domestic Product (GDP)","647966000000"
"United Kingdom of Great Britain and Northern Ireland","1990","Final consumption expenditure","526968884000"
"United Kingdom of Great Britain and Northern Ireland","1990","Household consumption expenditure (including Non-profit institutions serving households)","412592188000"
"United Kingdom of Great Britain and Northern Ireland","1990","General government final consumption expenditure","114376696000"
"United Kingdom of Great Britain and Northern Ireland","1990","Gross capital formation","141912503000"
"United Kingdom of Great Britain and Northern Ireland","1990","Gross fixed capital formation (including Acquisitions less disposals of valuables)","145187518000"
"United Kingdom of Great Britain and Northern Ireland","1990","Changes in inventories","-3275015000"
"United Kingdom of Great Britain and Northern Ireland","1990","Exports of goods and services","142103037000"
"United Kingdom of Great Britain and Northern Ireland","1990","Imports of goods and services","153276222000"
"United Kingdom of Great Britain and Northern Ireland","1990","Gross Domestic Product (GDP)","615673000000"
"United Kingdom of Great Britain and Northern Ireland","1989","Final consumption expenditure","485786237000"
"United Kingdom of Great Britain and Northern Ireland","1989","Household consumption expenditure (including Non-profit institutions serving households)","381689267000"
"United Kingdom of Great Britain and Northern Ireland","1989","General government final consumption expenditure","104096970000"
"United Kingdom of Great Britain and Northern Ireland","1989","Gross capital formation","146906466000"
"United Kingdom of Great Britain and Northern Ireland","1989","Gross fixed capital formation (including Acquisitions less disposals of valuables)","144012657000"
"United Kingdom of Great Britain and Northern Ireland","1989","Changes in inventories","2893809000"
"United Kingdom of Great Britain and Northern Ireland","1989","Exports of goods and services","126896652000"
"United Kingdom of Great Britain and Northern Ireland","1989","Imports of goods and services","147352256000"
"United Kingdom of Great Britain and Northern Ireland","1989","Gross Domestic Product (GDP)","566512000000"
"United Kingdom of Great Britain and Northern Ireland","1988","Final consumption expenditure","444272111000"
"United Kingdom of Great Britain and Northern Ireland","1988","Household consumption expenditure (including Non-profit institutions serving households)","348085774000"
"United Kingdom of Great Britain and Northern Ireland","1988","General government final consumption expenditure","96186337000"
"United Kingdom of Great Britain and Northern Ireland","1988","Gross capital formation","129423744000"
"United Kingdom of Great Britain and Northern Ireland","1988","Gross fixed capital formation (including Acquisitions less disposals of valuables)","124678740000"
"United Kingdom of Great Britain and Northern Ireland","1988","Changes in inventories","4745004000"
"United Kingdom of Great Britain and Northern Ireland","1988","Exports of goods and services","112230554000"
"United Kingdom of Great Britain and Northern Ireland","1988","Imports of goods and services","128762571000"
"United Kingdom of Great Britain and Northern Ireland","1988","Gross Domestic Product (GDP)","511671000000"
"United Kingdom of Great Britain and Northern Ireland","1987","Final consumption expenditure","397343982000"
"United Kingdom of Great Britain and Northern Ireland","1987","Household consumption expenditure (including Non-profit institutions serving households)","308072541000"
"United Kingdom of Great Britain and Northern Ireland","1987","General government final consumption expenditure","89271441000"
"United Kingdom of Great Britain and Northern Ireland","1987","Gross capital formation","103004256000"
"United Kingdom of Great Britain and Northern Ireland","1987","Gross fixed capital formation (including Acquisitions less disposals of valuables)","100862758000"
"United Kingdom of Great Britain and Northern Ireland","1987","Changes in inventories","2141498000"
"United Kingdom of Great Britain and Northern Ireland","1987","Exports of goods and services","111054118000"
"United Kingdom of Great Britain and Northern Ireland","1987","Imports of goods and services","115139203000"
"United Kingdom of Great Britain and Northern Ireland","1987","Gross Domestic Product (GDP)","455965000000"
"United Kingdom of Great Britain and Northern Ireland","1986","Final consumption expenditure","363159406000"
"United Kingdom of Great Britain and Northern Ireland","1986","Household consumption expenditure (including Non-profit institutions serving households)","279922765000"
"United Kingdom of Great Britain and Northern Ireland","1986","General government final consumption expenditure","83236641000"
"United Kingdom of Great Britain and Northern Ireland","1986","Gross capital formation","88836460000"
"United Kingdom of Great Britain and Northern Ireland","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","88113354000"
"United Kingdom of Great Britain and Northern Ireland","1986","Changes in inventories","723106000"
"United Kingdom of Great Britain and Northern Ireland","1986","Exports of goods and services","101909399000"
"United Kingdom of Great Britain and Northern Ireland","1986","Imports of goods and services","104211246000"
"United Kingdom of Great Britain and Northern Ireland","1986","Gross Domestic Product (GDP)","410311000000"
"United Kingdom of Great Britain and Northern Ireland","1985","Final consumption expenditure","329795140000"
"United Kingdom of Great Britain and Northern Ireland","1985","Household consumption expenditure (including Non-profit institutions serving households)","252348714000"
"United Kingdom of Great Britain and Northern Ireland","1985","General government final consumption expenditure","77446426000"
"United Kingdom of Great Britain and Northern Ireland","1985","Gross capital formation","83476424000"
"United Kingdom of Great Britain and Northern Ireland","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","82724789000"
"United Kingdom of Great Britain and Northern Ireland","1985","Changes in inventories","751635000"
"United Kingdom of Great Britain and Northern Ireland","1985","Exports of goods and services","106316689000"
"United Kingdom of Great Britain and Northern Ireland","1985","Imports of goods and services","101938280000"
"United Kingdom of Great Britain and Northern Ireland","1985","Gross Domestic Product (GDP)","381251000000"
"United Kingdom of Great Britain and Northern Ireland","1984","Final consumption expenditure","303704200000"
"United Kingdom of Great Britain and Northern Ireland","1984","Household consumption expenditure (including Non-profit institutions serving households)","230495540000"
"United Kingdom of Great Britain and Northern Ireland","1984","General government final consumption expenditure","73208660000"
"United Kingdom of Great Britain and Northern Ireland","1984","Gross capital formation","76611329000"
"United Kingdom of Great Britain and Northern Ireland","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","75232967000"
"United Kingdom of Great Britain and Northern Ireland","1984","Changes in inventories","1378362000"
"United Kingdom of Great Britain and Northern Ireland","1984","Exports of goods and services","95527413000"
"United Kingdom of Great Britain and Northern Ireland","1984","Imports of goods and services","95586135000"
"United Kingdom of Great Britain and Northern Ireland","1984","Gross Domestic Product (GDP)","346946000000"
"United Kingdom of Great Britain and Northern Ireland","1983","Final consumption expenditure","283391220000"
"United Kingdom of Great Britain and Northern Ireland","1983","Household consumption expenditure (including Non-profit institutions serving households)","214271937000"
"United Kingdom of Great Britain and Northern Ireland","1983","General government final consumption expenditure","69119283000"
"United Kingdom of Great Britain and Northern Ireland","1983","Gross capital formation","67745389000"
"United Kingdom of Great Britain and Northern Ireland","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","66121704000"
"United Kingdom of Great Britain and Northern Ireland","1983","Changes in inventories","1623685000"
"United Kingdom of Great Britain and Northern Ireland","1983","Exports of goods and services","83191701000"
"United Kingdom of Great Britain and Northern Ireland","1983","Imports of goods and services","79960785000"
"United Kingdom of Great Britain and Northern Ireland","1983","Gross Domestic Product (GDP)","323001000000"
"United Kingdom of Great Britain and Northern Ireland","1982","Final consumption expenditure","258950065000"
"United Kingdom of Great Britain and Northern Ireland","1982","Household consumption expenditure (including Non-profit institutions serving households)","195196300000"
"United Kingdom of Great Britain and Northern Ireland","1982","General government final consumption expenditure","63753765000"
"United Kingdom of Great Britain and Northern Ireland","1982","Gross capital formation","59123548000"
"United Kingdom of Great Britain and Northern Ireland","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","60836943000"
"United Kingdom of Great Britain and Northern Ireland","1982","Changes in inventories","-1713395000"
"United Kingdom of Great Britain and Northern Ireland","1982","Exports of goods and services","75550489000"
"United Kingdom of Great Britain and Northern Ireland","1982","Imports of goods and services","69834445000"
"United Kingdom of Great Britain and Northern Ireland","1982","Gross Domestic Product (GDP)","294814000000"
"United Kingdom of Great Britain and Northern Ireland","1981","Final consumption expenditure","236630037000"
"United Kingdom of Great Britain and Northern Ireland","1981","Household consumption expenditure (including Non-profit institutions serving households)","178089307000"
"United Kingdom of Great Britain and Northern Ireland","1981","General government final consumption expenditure","58540730000"
"United Kingdom of Great Britain and Northern Ireland","1981","Gross capital formation","51827171000"
"United Kingdom of Great Britain and Northern Ireland","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","55520453000"
"United Kingdom of Great Britain and Northern Ireland","1981","Changes in inventories","-3693282000"
"United Kingdom of Great Britain and Northern Ireland","1981","Exports of goods and services","69891127000"
"United Kingdom of Great Britain and Northern Ireland","1981","Imports of goods and services","62198476000"
"United Kingdom of Great Britain and Northern Ireland","1981","Gross Domestic Product (GDP)","269085000000"
"United Kingdom of Great Britain and Northern Ireland","1980","Final consumption expenditure","211883024000"
"United Kingdom of Great Britain and Northern Ireland","1980","Household consumption expenditure (including Non-profit institutions serving households)","160069914000"
"United Kingdom of Great Britain and Northern Ireland","1980","General government final consumption expenditure","51813110000"
"United Kingdom of Great Britain and Northern Ireland","1980","Gross capital formation","51905585000"
"United Kingdom of Great Britain and Northern Ireland","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","55350386000"
"United Kingdom of Great Britain and Northern Ireland","1980","Changes in inventories","-3444801000"
"United Kingdom of Great Britain and Northern Ireland","1980","Exports of goods and services","64686599000"
"United Kingdom of Great Britain and Northern Ireland","1980","Imports of goods and services","59291841000"
"United Kingdom of Great Britain and Northern Ireland","1980","Gross Domestic Product (GDP)","243097000000"
"United Kingdom of Great Britain and Northern Ireland","1979","Final consumption expenditure","179193600000"
"United Kingdom of Great Britain and Northern Ireland","1979","Household consumption expenditure (including Non-profit institutions serving households)","137997964000"
"United Kingdom of Great Britain and Northern Ireland","1979","General government final consumption expenditure","41195636000"
"United Kingdom of Great Britain and Northern Ireland","1979","Gross capital formation","51488216000"
"United Kingdom of Great Britain and Northern Ireland","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","48923385000"
"United Kingdom of Great Britain and Northern Ireland","1979","Changes in inventories","2564831000"
"United Kingdom of Great Britain and Northern Ireland","1979","Exports of goods and services","56739096000"
"United Kingdom of Great Britain and Northern Ireland","1979","Imports of goods and services","55902498000"
"United Kingdom of Great Britain and Northern Ireland","1979","Gross Domestic Product (GDP)","207293000000"
"United Kingdom of Great Britain and Northern Ireland","1978","Final consumption expenditure","151793366000"
"United Kingdom of Great Britain and Northern Ireland","1978","Household consumption expenditure (including Non-profit institutions serving households)","116271646000"
"United Kingdom of Great Britain and Northern Ireland","1978","General government final consumption expenditure","35521720000"
"United Kingdom of Great Britain and Northern Ireland","1978","Gross capital formation","43243272000"
"United Kingdom of Great Britain and Northern Ireland","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","41104121000"
"United Kingdom of Great Britain and Northern Ireland","1978","Changes in inventories","2139151000"
"United Kingdom of Great Britain and Northern Ireland","1978","Exports of goods and services","49054030000"
"United Kingdom of Great Britain and Northern Ireland","1978","Imports of goods and services","46685010000"
"United Kingdom of Great Britain and Northern Ireland","1978","Gross Domestic Product (GDP)","175163000000"
"United Kingdom of Great Britain and Northern Ireland","1977","Final consumption expenditure","132219339000"
"United Kingdom of Great Britain and Northern Ireland","1977","Household consumption expenditure (including Non-profit institutions serving households)","100863435000"
"United Kingdom of Great Britain and Northern Ireland","1977","General government final consumption expenditure","31355904000"
"United Kingdom of Great Britain and Northern Ireland","1977","Gross capital formation","38164012000"
"United Kingdom of Great Britain and Northern Ireland","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","35981812000"
"United Kingdom of Great Britain and Northern Ireland","1977","Changes in inventories","2182200000"
"United Kingdom of Great Britain and Northern Ireland","1977","Exports of goods and services","44735184000"
"United Kingdom of Great Britain and Northern Ireland","1977","Imports of goods and services","43617675000"
"United Kingdom of Great Britain and Northern Ireland","1977","Gross Domestic Product (GDP)","150816000000"
"United Kingdom of Great Britain and Northern Ireland","1976","Final consumption expenditure","117017074000"
"United Kingdom of Great Britain and Northern Ireland","1976","Household consumption expenditure (including Non-profit institutions serving households)","88300344000"
"United Kingdom of Great Britain and Northern Ireland","1976","General government final consumption expenditure","28716730000"
"United Kingdom of Great Britain and Northern Ireland","1976","Gross capital formation","33567888000"
"United Kingdom of Great Britain and Northern Ireland","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","32541133000"
"United Kingdom of Great Britain and Northern Ireland","1976","Changes in inventories","1026755000"
"United Kingdom of Great Britain and Northern Ireland","1976","Exports of goods and services","36250408000"
"United Kingdom of Great Britain and Northern Ireland","1976","Imports of goods and services","37653297000"
"United Kingdom of Great Britain and Northern Ireland","1976","Gross Domestic Product (GDP)","129450000000"
"United Kingdom of Great Britain and Northern Ireland","1975","Final consumption expenditure","100459653000"
"United Kingdom of Great Britain and Northern Ireland","1975","Household consumption expenditure (including Non-profit institutions serving households)","75936553000"
"United Kingdom of Great Britain and Northern Ireland","1975","General government final consumption expenditure","24523100000"
"United Kingdom of Great Britain and Northern Ireland","1975","Gross capital formation","26029943000"
"United Kingdom of Great Britain and Northern Ireland","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","27838914000"
"United Kingdom of Great Britain and Northern Ireland","1975","Changes in inventories","-1808971000"
"United Kingdom of Great Britain and Northern Ireland","1975","Exports of goods and services","27749101000"
"United Kingdom of Great Britain and Northern Ireland","1975","Imports of goods and services","29574191000"
"United Kingdom of Great Britain and Northern Ireland","1975","Gross Domestic Product (GDP)","109274000000"
"United Kingdom of Great Britain and Northern Ireland","1974","Final consumption expenditure","79521827000"
"United Kingdom of Great Britain and Northern Ireland","1974","Household consumption expenditure (including Non-profit institutions serving households)","61741910000"
"United Kingdom of Great Britain and Northern Ireland","1974","General government final consumption expenditure","17779917000"
"United Kingdom of Great Britain and Northern Ireland","1974","Gross capital formation","24341494000"
"United Kingdom of Great Britain and Northern Ireland","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","23099889000"
"United Kingdom of Great Britain and Northern Ireland","1974","Changes in inventories","1241605000"
"United Kingdom of Great Britain and Northern Ireland","1974","Exports of goods and services","23644131000"
"United Kingdom of Great Britain and Northern Ireland","1974","Imports of goods and services","27873327000"
"United Kingdom of Great Britain and Northern Ireland","1974","Gross Domestic Product (GDP)","88183000000"
"United Kingdom of Great Britain and Northern Ireland","1973","Final consumption expenditure","67870486000"
"United Kingdom of Great Britain and Northern Ireland","1973","Household consumption expenditure (including Non-profit institutions serving households)","53510576000"
"United Kingdom of Great Britain and Northern Ireland","1973","General government final consumption expenditure","14359910000"
"United Kingdom of Great Britain and Northern Ireland","1973","Gross capital formation","21265607000"
"United Kingdom of Great Britain and Northern Ireland","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","19399033000"
"United Kingdom of Great Britain and Northern Ireland","1973","Changes in inventories","1866574000"
"United Kingdom of Great Britain and Northern Ireland","1973","Exports of goods and services","17637009000"
"United Kingdom of Great Britain and Northern Ireland","1973","Imports of goods and services","19444347000"
"United Kingdom of Great Britain and Northern Ireland","1973","Gross Domestic Product (GDP)","78594000000"
"United Kingdom of Great Britain and Northern Ireland","1972","Final consumption expenditure","59313172000"
"United Kingdom of Great Britain and Northern Ireland","1972","Household consumption expenditure (including Non-profit institutions serving households)","46753916000"
"United Kingdom of Great Britain and Northern Ireland","1972","General government final consumption expenditure","12559256000"
"United Kingdom of Great Britain and Northern Ireland","1972","Gross capital formation","15700681000"
"United Kingdom of Great Britain and Northern Ireland","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","15723561000"
"United Kingdom of Great Britain and Northern Ireland","1972","Changes in inventories","-22880000"
"United Kingdom of Great Britain and Northern Ireland","1972","Exports of goods and services","14038316000"
"United Kingdom of Great Britain and Northern Ireland","1972","Imports of goods and services","14096120000"
"United Kingdom of Great Britain and Northern Ireland","1972","Gross Domestic Product (GDP)","68054000000"
"United Kingdom of Great Britain and Northern Ireland","1971","Final consumption expenditure","52303651000"
"United Kingdom of Great Britain and Northern Ireland","1971","Household consumption expenditure (including Non-profit institutions serving households)","41289579000"
"United Kingdom of Great Britain and Northern Ireland","1971","General government final consumption expenditure","11014072000"
"United Kingdom of Great Britain and Northern Ireland","1971","Gross capital formation","14418218000"
"United Kingdom of Great Britain and Northern Ireland","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","14323683000"
"United Kingdom of Great Britain and Northern Ireland","1971","Changes in inventories","94535000"
"United Kingdom of Great Britain and Northern Ireland","1971","Exports of goods and services","13318163000"
"United Kingdom of Great Britain and Northern Ireland","1971","Imports of goods and services","12482982000"
"United Kingdom of Great Britain and Northern Ireland","1971","Gross Domestic Product (GDP)","60860000000"
"United Kingdom of Great Britain and Northern Ireland","1970","Final consumption expenditure","46497121000"
"United Kingdom of Great Britain and Northern Ireland","1970","Household consumption expenditure (including Non-profit institutions serving households)","36829420000"
"United Kingdom of Great Britain and Northern Ireland","1970","General government final consumption expenditure","9667701000"
"United Kingdom of Great Britain and Northern Ireland","1970","Gross capital formation","13215435000"
"United Kingdom of Great Britain and Northern Ireland","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","12776583000"
"United Kingdom of Great Britain and Northern Ireland","1970","Changes in inventories","438852000"
"United Kingdom of Great Britain and Northern Ireland","1970","Exports of goods and services","11870627000"
"United Kingdom of Great Britain and Northern Ireland","1970","Imports of goods and services","11406525000"
"United Kingdom of Great Britain and Northern Ireland","1970","Gross Domestic Product (GDP)","54451000000"

