date, GDP, Per Capita (US $), Annual % Change
12/31/1960,1.939329775,685.6147,
12/31/1961,2.088012282,739.2764,
12/31/1962,2.260349684,797.0063,
12/31/1963,2.430843768,852.1353,
12/31/1964,2.766608946,965.1354,
12/31/1965,2.945704143,1023.7737,
12/31/1966,3.104034393,1074.5065,
12/31/1967,3.343636773,1152.005,
12/31/1968,3.278584478,1124.5166,
12/31/1969,3.787077344,1291.3499,
12/31/1970,4.395995086,1486.5145,
12/31/1971,5.098250287,1703.9322,3.4699
12/31/1972,6.318060582,2080.4651,6.4898
12/31/1973,7.481173066,2424.269,4.7214
12/31/1974,7.896860615,2516.9277,4.2602
12/31/1975,9.483808362,2973.4001,5.6566
12/31/1976,9.453756015,2919.5831,1.3948
12/31/1977,11.24834043,3427.0734,8.2113
12/31/1978,14.64799607,4399.9868,7.1867
12/31/1979,18.3193343,5429.962,3.073
12/31/1980,21.74785564,6372.4378,3.0793
12/31/1981,20.67019014,5986.1541,3.3252
12/31/1982,21.47475296,6160.6383,2.2835
12/31/1983,20.76604776,5915.2418,-0.2443
12/31/1984,20.10664845,5692.0274,4.3544
12/31/1985,21.27001333,6011.7355,3.0856
12/31/1986,28.71457185,8112.1714,-0.4283
12/31/1987,33.92051849,9581.9131,4.6631
12/31/1988,37.77289622,10715.8703,5.2174
12/31/1989,39.23839268,11175.8166,5.8139
12/31/1990,49.30563241,14031.3026,8.4665
12/31/1991,49.78750158,14087.2074,1.9296
12/31/1992,55.91853812,15714.3847,3.3433
12/31/1993,52.41747761,14657.0616,2.6926
12/31/1994,57.09765607,15902.9297,5.7558
12/31/1995,69.13982323,19158.4565,9.6344
12/31/1996,75.79078629,20835.8977,7.3796
12/31/1997,82.85664876,22551.1139,11.0218
12/31/1998,90.19941012,24294.8548,8.7661
12/31/1999,98.89395826,26338.1078,10.5299
12/31/2000,100.2076104,26334.5672,9.4035
12/31/2001,109.3466692,28282.4099,5.3058
12/31/2002,128.5960353,32705.4346,5.8994
12/31/2003,164.6707713,41203.5296,3.0138
12/31/2004,194.372115,47754.2023,6.7881
12/31/2005,211.8769897,50933.0216,5.7398
12/31/2006,232.1806172,54329.1619,4.9879
12/31/2007,270.0792794,61396.4175,5.3101
12/31/2008,275.4474715,61353.1066,-4.4841
12/31/2009,236.4431159,52133.0906,-5.0958
12/31/2010,221.9135609,48663.6004,1.683
12/31/2011,239.0031322,52183.1329,0.8338
12/31/2012,225.6286997,49054.6974,-0.0055
12/31/2013,238.3408599,51546.3548,1.1257
12/31/2014,259.1709036,55643.0594,8.6494
12/31/2015,291.7751665,62053.9844,24.3704
12/31/2016,299.0911275,62895.9111,2.0067
12/31/2017,336.3775002,69970.9489,9.0053
12/31/2018,385.7366808,79250.3879,8.5275
12/31/2019,399.3217016,80927.0747,5.4409
12/31/2020,425.8522819,85420.1909,6.1845
12/31/2021,504.1826033,100172.0793,13.5882
12/31/2022,529.2448702,104038.9461,11.9696